Banks,ROE,ROA,COD,COBR,ROAD,ROI,OPAST,NIITAST,SPRD,STEXTEX,NETNPA,CRAR,BUSEMP,PFTEMP
ALD7,10.31458615,0.488291775,7.380243768,1.228450909,13.8943838,9.770159468,1.399224818,3.049061702,4.385420427,18.91014688,14.84,11,68,0.28
ALD8,17.19975006,0.852665638,7.082485415,0.022056816,11.72133261,10.27974154,1.501238225,2.824577465,3.874376431,19.5289531,15.09,11.64,77,0.57
ALD9,15.89974943,0.774851152,7.013789346,0.628986157,10.87740482,10.82522918,1.341254187,2.81699401,3.837202596,20.76249912,12.54,10.38,90,0.6
ALD0,7.791963315,0.351733481,7.145731517,2.00787652,10.73522428,10.96708978,1.449002793,2.8623756,3.705288558,20.20244056,12.24,11.51,105,0.31
ANDR7,5.520773369,0.432127619,7.319776322,15.97854691,13.18542451,10.3545305,1.059859287,2.980076887,4.35241769,21.90532206,4.1,12.05,59.13,0.24
ANDR8,11.31566316,0.815181468,7.262330019,15.15349824,12.35155285,11.29018032,1.681904152,3.366530692,4.51088523,22.60746006,2.92,12.37,67.69,0.5
ANDR9,18.31637235,0.779093437,6.587422451,17.70469398,10.50490204,10.5626732,1.354320325,2.910862269,3.947668953,22.97541646,4.26,11.02,81.14,0.61
ANDR0,20.69283507,0.763053821,6.78289384,19.60191937,11.55714902,9.762365769,1.831722628,2.630025722,3.737325259,18.85589715,3.47,13.36,111.71,0.82
BOB7,13.91236981,0.734687582,7.383320167,6.130107221,13.52868525,10.51613359,2.062809484,3.214534177,4.946526297,15.36431644,8.94,11.8,106,1.7
BOB8,17.22348953,1.000671772,6.838581047,9.180438314,11.28517635,11.30406829,1.758318798,2.90866944,4.454205608,18.89799546,6.6,12.05,117.24,1
BOB9,14.54037841,0.806864842,6.901405763,14.41055114,11.30902209,10.96421142,1.809795906,3.012524591,4.259378694,18.9707721,7.7,13.3,134.75,0.91
BOB0,15.54356149,0.857896924,6.336838822,21.81079201,10.62319553,10.7391217,1.794507048,2.923895746,4.336443172,18.6375326,6.95,12.1,142.82,1.07
BOI7,18.56784015,0.948769804,6.976494139,9.692172192,12.18249974,10.27139714,1.527167606,3.00467072,4.502976201,19.60359952,6.52,10.26,86,0.68
BOI8,15.74469589,0.786632352,6.275509888,11.70549644,11.17621389,9.697909943,1.504556751,2.772429637,4.351140704,20.17649622,7.13,9.11,99.14,0.69
BOI9,8.357718463,0.373014035,6.527783556,9.407504044,10.79819256,9.900006446,1.307421315,2.614910505,3.923869817,20.71557466,7.29,10.55,131,0.38
BOI0,6.882317549,0.308249409,6.413756437,16.54604494,10.89970393,10.0365731,1.218216276,2.307780991,4.142610179,20.64502162,8.61,10.57,135.65,0.33
BOM7,5.86384192,0.539141939,6.91519776,4.829063793,12.9778881,11.20230515,1.179134018,3.673608831,5.094726496,26.67669476,9.66,9.07,57,0.28
BOM8,6.560998211,0.528258073,6.52246944,2.662231315,12.12048201,10.87437025,1.164658281,3.498457929,4.892672996,27.6850717,8.59,10.9,78.91,0.34
BOM9,10.84889732,0.425813949,6.519747891,2.685811915,11.82337622,10.62628133,1.108589713,3.286678583,4.605319118,27.27742904,8.72,9.76,90.62,0.32
BOM0,16.55518671,0.591966281,7.120603841,3.095417845,11.21963291,11.01506164,1.521002142,3.067730183,3.97884789,22.87293888,6.97,11.66,114.84,0.56
CAN7,7.195707375,0.413378296,6.832470529,11.69322167,13.68054874,9.935672907,1.83468786,3.185637858,5.125220799,17.22095198,9.32,10.17,79.9,0.2
CAN8,8.815832092,0.470909116,6.844025402,4.015053362,11.97538887,9.516650977,1.559914398,2.493299084,3.931692466,18.3889232,7.52,9.54,102.33,0.39
CAN9,9.327725314,0.467709208,7.133736965,0.945360963,11.7200114,12.088525,1.989637172,3.241828719,4.759673556,20.17021782,7.09,10.96,116.88,0.43
CAN0,9.09325967,0.433895576,6.737574793,1.40100139,10.56803622,10.19604004,1.696901722,2.641929963,3.659506973,19.96301045,5.28,9.64,135.2,0.45
CBI7,6.628466915,0.571461952,7.248109908,5.03559435,14.66225141,9.184544504,1.135079512,3.16658206,4.268705396,24.1179494,14.4,9.41,61,0.3
CBI8,6.624604519,0.573076284,7.09717271,2.664717873,11.67830275,11.60133003,1.181945526,3.113372378,4.539214083,25.26590349,12.21,10.4,66.38,0.35
CBI9,5.636030907,0.413957671,7.201157366,5.588354659,11.75135576,10.84848854,0.845616761,2.968581553,4.059147391,24.94477412,9.79,11.88,79.55,0.3
CBI0,1.568472055,0.097270374,4.937248205,6.4909942,7.597503206,6.172498334,0.453844104,1.635477099,1.920039181,22.35885923,9.84,11.18,93.3,0.31
COPR7,31.31928188,1.534634619,7.386335318,0.848352087,13.34021329,11.12089525,3.016376472,3.88732389,4.796286252,14.0523973,3.63,11.3,90.69,1.33
CORP8,19.65512185,1.488062577,6.66129794,4.327128098,9.931629778,12.5702772,2.700684642,3.463344201,4.566467377,14.83057798,2.93,16.9,141.5,1.73
CORP9,19.70361311,1.281660371,7.628463273,2.790166486,9.678507607,11.51253906,2.042078389,2.52374946,2.906777262,13.20812688,1.98,13.2,185.02,1.89
CORP0,20.30519057,1.386711066,7.813574761,5.75585583,10.36337848,11.55648498,2.536199639,2.734090372,3.067552267,12.22390735,1.92,12.8,207.68,2.2
DENA7,14.51233955,0.75056216,7.362703446,13.02276857,14.33350579,10.92501298,1.997494314,3.854045841,5.337789578,20.12467653,9.4,10.81,69.91,0.47
DENA8,19.2443103,0.856495652,7.264190434,1.951630301,13.16300642,11.12373607,2.23098748,3.47804258,4.936274261,21.71904161,8.28,11.88,101,0.71
DENA9,15.80140155,0.74164658,8.12911985,1.762115892,12.49236792,11.35434717,1.455233115,2.967615052,3.829626576,19.27244156,7.67,11.14,126,0.76
DENA0,7.606985734,0.37308236,7.849248269,3.805804083,11.69423786,10.34457457,1.297010951,2.481710567,3.179899504,18.53972358,13.47,11.63,145,0.45
IND7,-36.7929979,-2.284332831,7.343207357,15.38914755,13.61824981,10.75779167,-0.812319299,0.711174356,5.021175358,16.21886553,25.24,-18.81,84,-1
IND8,-10.75631618,-1.549869144,7.605343796,22.26077942,11.35262775,8.598944021,-1.076926609,0.572438636,2.396518043,20.86160765,26.01,1.41,87.73,0
IND9,-26.8573945,-3.629643557,7.906529367,8.833564493,10.69503432,10.04947572,-0.761053805,0.919685398,2.460819515,21.48086565,21.67,-1,97.87,0
IND0,-14.75261903,-1.814761915,7.628416458,13.04167533,11.33267646,10.86252861,0.101398693,1.61488025,3.464369797,22.9495712,16.18,-1,110,0
IOB7,18.34928199,0.582953829,7.747485571,17.85690118,13.75818949,10.56379811,0.722017623,2.383400393,4.489796177,18.92591976,7.64,10.07,83,0.36
IOB8,16.8585596,0.527515217,7.472169665,11.9855507,11.33233392,11.14826174,0.720138315,2.307051646,3.775498276,20.03165528,6.26,9.34,90.79,0.4
IOB9,7.700335763,0.226216226,7.638941626,11.7212817,10.9701387,11.14527138,0.584389975,2.312524372,3.410206019,21.13098792,7.3,10.15,103.78,0.2
IOB0,13.50204516,0.366548868,9.44761922,8.047495713,14.04526476,14.25005679,1.417877353,3.46504084,4.693835305,18.98656698,7.65,9.15,116.87,0.14
OBC7,19.14678273,1.559360681,7.774774857,6.840601062,14.48144286,11.24717474,2.601365478,3.890296754,5.176400639,13.13661972,5.64,17.53,100.3,1.3
OBC8,19.40055611,1.420710195,7.187184255,10.62197799,11.69519544,11.22222838,2.282458356,3.379184338,4.278486087,14.69037115,4.84,15.28,134.8,1.5
OBC9,18.68660859,1.225080659,7.557710482,9.664240949,12.10416283,10.80394627,2.055208316,3.104367339,3.890841445,13.05716466,4.5,14.1,169.7,1.6
OBC0,19.50591996,1.135322419,7.776229323,2.863633728,10.83744931,11.82217921,2.0614917,2.904434015,3.606252338,10.64501215,3.8,12.72,218.2,1.9
PNB7,17.71213373,0.678333886,7.604145506,1.695054836,13.89164459,10.91397892,1.768266773,3.467978704,4.803461351,20.87519244,10.38,9.15,61.95,0.35
PNB8,28.8581159,1.200333425,7.221068879,1.32699786,12.22428545,11.44459886,2.014454244,3.251745601,4.61501935,22.76670936,9.6,8.81,75.65,0.72
PNB9,19.28328851,0.803307102,6.564561626,6.143328638,11.45466532,10.64040578,1.772895539,3.567519369,4.488105749,25.6253426,8.96,10.79,89.58,0.57
PNB0,17.95908453,0.754012095,7.090492743,4.388079664,11.13883617,10.93757036,1.515204501,2.986133311,3.948775276,23.38330606,8.52,10.31,106.48,0.63
PS7,2.586539113,0.263407188,7.992768281,12.55336566,14.67010978,9.729664967,0.745848017,2.601881499,4.113033261,20.67234593,12.04,9.23,74,0.16
PS8,8.252127972,0.720764346,7.747230068,1.259428702,12.6888469,10.45520437,1.108077879,2.631251046,3.733348153,21.05182206,10.84,11.39,92.76,0.53
PS9,16.1712247,0.569453987,7.4542145,3.065996559,11.55582893,10.72160822,0.864111812,2.380851086,3.675852225,18.7834145,10.48,10.94,111.49,0.46
PS0,14.58302033,0.516344389,7.70715957,1.919066507,11.02977207,11.31780907,0.825384095,2.347910135,3.467295949,20.40183366,9.39,11.57,124.96,0.51
SBBJ7,20.92028259,0.497077904,8.08288762,0.52680786,13.85489811,11.05529442,1.927163783,3.324919611,4.565257183,22.47682932,7.96,8.82,52,0.27
SBBJ8,26.29246213,1.061574705,7.753157971,2.246923268,12.4852434,11.71623658,2.298665476,3.683372261,4.396970379,26.24838959,7.13,10.65,63.24,1.3
SBBJ9,21.91000974,0.898267422,7.711118563,5.968467352,11.98680314,11.05948044,1.584998028,3.229382205,3.814396537,26.00569776,10.45,12.26,74.17,1.14
SBBJ0,23.01947445,0.965732119,7.622448885,12.27493025,10.94404444,10.77495613,1.907725653,2.996401985,3.23298812,23.9202756,10.14,12.35,86.47,1.69
SBHY7,17.6646029,0.556289209,7.93466169,8.459242594,14.84658856,10.20626698,2.432390795,3.691679728,4.961184568,17.07100359,11.42,10.84,74,0.37
SBHY8,24.94583927,0.914624338,7.057786111,9.203809518,12.26519218,11.40208434,2.695907487,3.614913988,4.824352967,21.34759991,10.88,10.83,90,0.68
SBHY9,22.48130067,0.845735216,6.795733611,12.67198534,11.67061236,9.275734451,2.069158994,3.526524201,3.61578411,24.47636655,8.78,10.65,109,0.76
SBHY0,20.67542412,0.824109232,7.320731038,12.6361953,11.15750701,10.66678157,2.653091795,3.353325458,3.57412934,18.75426175,7.3,10.86,126,0.87
SBI7,16.91386481,0.862286959,7.498398563,6.919500239,13.07577055,11.79114887,2.171379698,3.425012963,5.025792322,20.45575514,7.3,12.17,68,0.56
SBI8,19.37095384,1.035881479,7.312644863,5.946013602,10.54606409,11.62487655,1.95074739,3.008628097,3.692448183,23.41531838,6.07,14.58,75.44,0.77
SBI9,9.880526859,0.461914972,7.215121854,5.225504327,10.4193716,10.64059518,1.551019606,2.724877477,3.306889725,21.89634619,7.18,12.51,93.64,0.43
SBI0,16.88893381,0.784515295,7.31458419,6.003802754,9.738799342,10.34642896,1.607043062,2.649412434,2.718077768,20.76186484,6.41,11.49,111.2,0.87
SBIN7,11.98391282,0.490229782,7.84903837,1.088329184,14.73083824,11.31389697,2.225982828,4.277945863,5.498889665,20.62692687,11.29,9.31,60.36,0.25
SBIN8,16.52232493,0.67707993,7.124696927,0.637040057,12.31466252,10.51190486,2.222432055,3.862103809,4.395463155,24.53616512,10.96,9.83,75.02,1.33
SBIN9,16.00780506,0.625911892,7.187568266,1.198415755,12.33568147,10.35266344,2.310497842,3.921718107,4.215781321,25.38272134,10.1,12.35,81,1.67
SBIN0,19.35963597,0.720666371,6.864796983,2.017095268,10.07769343,10.08072964,2.059821469,2.989574797,3.214286927,23.61639909,7.55,11.26,96.23,1.87
SBMY7,22.87844656,0.738653452,8.247175043,0.523479792,15.87526323,10.93730275,2.385417682,4.220910438,5.529315852,21.99946042,10.96,10.8,59.4,0.4
SBMY8,23.21419795,0.861995153,7.59463659,2.336416744,13.75605307,11.99842513,2.160404945,3.94497561,5.421957259,26.52157483,10.75,11.61,62.35,1.13
SBMY9,13.84800702,0.488364196,7.587846929,2.764300887,13.56043215,11.36105336,1.750206089,3.578173844,5.019651784,26.960118,10.55,10.23,70.75,1.05
SBMY0,17.13366084,0.582243767,7.364594056,2.342803413,12.67885736,10.52114099,1.963335821,3.393076535,4.312977162,27.83912079,8.12,11.5,81.61,1.42
SBPAT7,13.63762175,0.680635151,7.982836358,3.879952499,14.16567971,11.86487752,2.263924342,3.703761401,5.233095043,17.50935686,5.88,11.25,75,0.46
SBPAT8,25.23717936,1.483434816,7.478725803,20.96997633,12.66563756,11.73380194,2.159767098,3.678028686,4.797227621,21.77920498,7.04,13.24,91.23,1.09
SBPAT9,15.38657793,0.932399463,7.005898296,4.133235056,11.20671732,10.94322957,2.340817647,3.532332644,4.088268534,21.26135483,8.23,12.47,106.67,0.77
SBPAT0,16.73013756,1.061518858,6.691826859,9.964639389,10.57000823,10.39624534,2.849222185,3.86196144,3.801857429,21.45592317,6.09,12.6,123.62,0.99
SBSAU7,18.43812721,1.445642866,7.866734244,0.284998935,13.55272249,10.96197003,2.43001015,3.619456324,4.604100119,21.48381547,6.47,12.14,67,0.89
SBSAU8,20.02440989,1.501422734,7.480088805,0.869286525,11.92884608,12.65711755,2.295366986,3.634110545,4.7332458,26.15993648,6.98,18.14,79.28,1.58
SBSAU9,6.154177273,0.397793947,7.629406652,0.325410925,11.55416731,12.29292299,1.920418751,3.492139842,4.240921717,25.32028926,7.69,14.35,82.1,0.31
SBSAU0,17.26360701,1.147732714,7.674595462,0.612490331,11.30440218,11.34069789,2.154695113,3.203493224,3.645973969,22.02115286,7.87,14.48,98.28,1.09
SBT7,19.27211123,0.51664836,9.34850907,19.86346067,16.39092441,10.2548232,1.932932733,3.175914147,4.478633786,16.83065922,8.82,8.17,74.2,0.31
SBT8,18.00347284,0.693057266,8.825769263,17.08570272,13.831243,11.25622242,2.18898667,2.936492054,3.84140331,16.2847361,12.21,11.48,89.81,0.51
SBT9,11.35274149,0.396414522,8.374158686,18.28368769,11.18317387,10.72689167,1.378721816,2.18323749,2.577383901,16.96505749,10.8,10.27,99.97,0.35
SBT0,15.32148702,0.534355181,8.079110484,40.53231531,10.03341476,11.49531246,1.465277971,2.267294072,2.666281098,18.89788658,8.58,11.09,121.65,0.54
SYN7,4.490795745,0.382305388,6.803070339,3.409768832,12.2862312,10.76029025,0.563272308,3.169057439,4.627120311,28.62850974,7.53,8.8,49,0.2
SYN8,5.469195538,0.424424957,6.649136136,7.284015688,10.74578927,11.55127461,0.695222294,2.854982367,4.518669069,28.31525141,5.78,10.49,53.26,0.39
SYN9,20.41585929,0.651231996,7.032523964,3.370611131,11.69296859,11.44089506,0.849813399,3.020624628,4.544550001,27.13788739,3.93,9.57,88.83,0.42
SYN0,20.57079321,0.793900563,6.6594084,1.740247758,10.84801725,10.70212974,1.032918289,3.038336567,4.123528152,27.16444689,3.17,11.45,111.36,0.66
UBI7,-6.249212583,-0.891862155,7.626108507,0.812274587,12.68716064,9.372500039,-0.43144481,1.619441968,2.841993034,23.8560454,18.7,8.23,58,-1
UBI8,0.512903506,0.066869091,7.63371908,4.522974187,11.0439151,11.29998198,1.141893683,2.768593317,3.584415691,23.59183022,14.1,8.4,72.01,0.04
UBI9,0.745051812,0.085374975,7.544898049,4.739336937,10.81091795,10.76323215,0.26949332,2.001713378,3.23272855,22.40591088,15.06,9.6,81.46,0.07
UBI0,1.592037927,0.160758234,7.560632424,7.089336814,10.48649403,11.43344939,0.43210148,2.103998189,3.579265868,22.06221913,12.7,9.6,100.28,0.15
UCO7,-8.324315403,-1.078240458,7.613127063,20.67344397,11.90323695,9.246822127,-0.445168673,1.93485195,2.778488153,26.30533364,13.73,3.16,51,-0.62
UCO8,-3.913689685,-0.517677856,7.207498617,8.372548801,10.03682446,10.41474101,0.080918237,1.938983763,3.045564976,27.31702504,11.14,9.07,56,-0.3
UCO9,-2.572611452,-0.326552301,7.263249823,11.59842436,10.45972498,10.38525424,0.184945127,2.151404586,3.15297638,26.27886969,10.83,9.63,73,-0.2
UCO0,1.381394282,0.155546861,7.347491376,9.223718544,10.00555276,10.84174075,0.750622495,2.34553909,3.130991809,24.69937012,8.75,9.15,89,0.12
UNI7,15.45851996,0.963066668,7.587519041,15.26415726,14.12049196,11.51003745,1.524087294,3.408158797,5.336536375,18.22750716,6.98,10.53,86.36,0.7
UNI8,15.8573167,0.971124244,7.262060733,13.95538645,12.25332072,11.70642251,1.357201889,3.170608592,4.7328462,18.43856963,7.66,10.86,96.98,0.81
UNI9,9.522161015,0.513022008,7.197046213,16.06878586,11.97062725,10.47168502,0.992536519,2.662560894,3.997537993,18.21981591,8.7,10.09,112.94,0.52
UNI0,8.626381493,0.430711927,7.888261439,4.187458267,12.20179035,16.18797875,1.204942333,3.505437811,6.067228333,26.32507674,7.97,11.42,135.44,0.33
VIJ7,2.66610246,0.235471812,7.019258545,3.936262259,14.87962391,10.77235275,0.431722741,2.905739993,5.576885757,24.66195237,9.56,11.53,60,0.1
VIJ8,3.232668236,0.246917909,6.549944527,0.949583557,11.34582771,10.43932067,0.675263183,2.758993602,4.306247935,24.22901189,7.5,10.3,71.68,0.17
VIJ9,4.293833846,0.272441451,6.886159494,2.145605239,12.64035092,10.61537603,1.046740005,2.859431163,4.658573144,22.19234592,6.72,10,89.86,0.22
VIJ0,11.81894821,0.413067547,6.714549896,5.197299579,11.88227075,11.50097983,0.980603125,3.034434535,4.969250609,22.93287296,6.65,10.61,105.49,0.36